gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
Male,Rural,High School,7.64,0,5,0.0,1,A,Platinum,53796
Male,Rural,Bachelor,19.92,1,4,2978.0,More than 1,C,Platinum,70536
Male,Urban,High School,4.12,1,2,6338.0,More than 1,B,Silver,105648
Male,Urban,High School,8.99,1,7,6808.0,1,A,Silver,35628
Male,Urban,High School,2.32,1,7,3713.0,More than 1,B,Platinum,64812
Female,Urban,High School,5.09,0,6,7924.0,More than 1,A,Platinum,169416
Male,Urban,Bachelor,9.88,0,8,6857.0,More than 1,A,Platinum,513432
Female,Rural,High School,8.6,1,2,0.0,More than 1,A,Platinum,116088
Male,Urban,Bachelor,2.28,1,5,16785.0,1,A,Silver,60600
Male,Rural,Bachelor,3.61,1,7,3389.0,More than 1,B,Gold,71520
Female,Rural,High School,9.02,1,7,2783.0,More than 1,,Platinum,61212
Female,Rural,High School,6.13,0,4,0.0,More than 1,B,Gold,53292
Female,Urban,Bachelor,2.28,1,5,5242.0,More than 1,C,Platinum,65268
Male,Urban,Others,3.65,1,6,4092.0,1,A,Silver,33924
Male,Urban,Bachelor,2.68,0,6,2114.0,More than 1,B,Silver,68568
Male,Urban,High School,9.3,0,2,6807.0,More than 1,A,Platinum,65220
Male,Rural,Bachelor,6.94,1,0,0.0,1,A,Platinum,29556
Male,Urban,High School,4.92,1,3,3887.0,More than 1,A,Silver,105324
Male,Urban,High School,8.16,0,4,0.0,More than 1,C,Gold,229044
Male,,Bachelor,36.92,1,8,0.0,More than 1,B,Silver,53100
Male,Rural,High School,8.58,1,6,0.0,1,A,Platinum,34476
Female,Rural,Bachelor,9.15,1,4,2573.0,More than 1,B,Gold,77184
Female,Rural,Bachelor,,1,1,0.0,1,B,Silver,36264
Male,Urban,Bachelor,6.84,0,6,8457.0,1,A,Platinum,32772
Female,Urban,High School,6.39,1,6,6623.0,More than 1,A,Platinum,95352
Male,Urban,High School,2.72,0,1,8008.0,More than 1,C,Platinum,228144
Male,,Bachelor,3.71,1,0,6690.0,More than 1,A,Gold,63612
Male,Urban,High School,2.52,1,5,5582.0,More than 1,A,Platinum,415476
Male,Urban,High School,5.85,1,6,5770.0,More than 1,A,Platinum,32988
Male,Rural,Bachelor,5.59,0,4,7489.0,More than 1,A,Platinum,468204
Male,Urban,High School,7.78,0,6,5888.0,More than 1,A,Gold,31212
Male,Urban,High School,4.94,0,4,6510.0,More than 1,A,Platinum,195072
Male,Urban,High School,2.37,1,2,6206.0,1,A,Platinum,68964
Female,Urban,High School,9.52,0,6,5253.0,1,,Silver,50580
Male,Rural,High School,79.99,1,5,0.0,More than 1,B,Platinum,62172
Male,Urban,High School,1.99,1,8,5872.0,More than 1,A,Platinum,60564
Male,Urban,Bachelor,5.43,1,4,5141.0,More than 1,A,Platinum,63180
Male,Urban,Bachelor,6.26,0,5,4917.0,More than 1,B,Platinum,100392
Female,Urban,High School,,0,6,7401.0,More than 1,A,Gold,98628
Male,Urban,Bachelor,3.96,1,5,9160.0,More than 1,B,Gold,436008
Female,Rural,Bachelor,7.8,1,6,2176.0,More than 1,B,Silver,54756
Female,Rural,Bachelor,,1,7,,1,A,Platinum,33228
Male,Urban,Bachelor,,1,2,12251.0,1,B,Gold,67752
Male,Urban,High School,8.79,0,2,6375.0,1,A,Platinum,30552
Male,Urban,Bachelor,67.31,1,1,6269.0,1,A,Platinum,49308
Female,Urban,Bachelor,3.5,0,5,6565.0,More than 1,A,Platinum,175728
Female,Urban,Bachelor,0.2,1,6,4613.0,More than 1,C,Platinum,102132
Male,Urban,High School,3.02,0,7,5135.0,More than 1,A,Gold,62136
Female,Rural,High School,5.33,1,4,2247.0,More than 1,A,Platinum,90000
Female,Urban,High School,6.33,1,5,,More than 1,C,Gold,69084
Female,Urban,High School,,0,7,5871.0,1,A,Silver,35772
Male,Urban,Bachelor,8.54,1,5,6304.0,1,A,Platinum,62880
Female,Urban,Bachelor,2.76,1,6,0.0,More than 1,,Platinum,96528
Male,Urban,Bachelor,4.41,1,3,8793.0,More than 1,A,Silver,72480
Female,Urban,High School,5.5,1,7,0.0,More than 1,A,Silver,62412
Female,Rural,Others,5.58,1,5,0.0,1,,Platinum,31704
Male,Urban,Bachelor,3.64,1,2,3847.0,1,A,Platinum,30804
Male,Rural,High School,5.98,1,1,2935.0,1,A,Platinum,29184
Female,Urban,High School,5.62,1,5,3124.0,More than 1,B,Platinum,77976
Male,Rural,High School,34.66,0,5,,1,,Platinum,51564
Male,Rural,Bachelor,74.14,1,6,2860.0,More than 1,A,Platinum,67632
Female,Rural,High School,8.29,0,2,2491.0,More than 1,,Silver,59328
Female,Urban,Bachelor,4.0,0,2,3391.0,More than 1,B,Silver,71340
Male,Urban,Others,6.16,1,4,3954.0,More than 1,B,Platinum,100140
Female,Urban,Bachelor,4.47,1,3,5919.0,More than 1,A,Silver,108696
Female,Urban,High School,42.79,1,6,3063.0,More than 1,A,Platinum,101664
Male,,Bachelor,4.43,1,4,4069.0,More than 1,B,Platinum,67656
Female,Urban,High School,9.98,0,7,,1,A,Platinum,65832
Female,Rural,Bachelor,,1,3,0.0,1,C,Gold,34872
Female,Urban,High School,6.44,1,2,6918.0,More than 1,A,Platinum,82008
Male,Urban,High School,7.72,0,2,25188.0,More than 1,A,Platinum,349308
Male,Urban,Bachelor,,1,6,5817.0,More than 1,A,Silver,63120
Female,,High School,9.27,0,5,10149.0,1,B,Silver,50556
Female,Urban,High School,36.73,1,8,2259.0,More than 1,B,Silver,78804
Female,Rural,High School,5.29,1,0,5524.0,1,A,Platinum,32364
Male,Urban,High School,5.18,0,7,4436.0,More than 1,C,Silver,58584
Male,Urban,High School,6.13,1,3,,More than 1,,Platinum,105696
Male,Urban,High School,4.31,0,3,0.0,1,A,Gold,66540
Male,Rural,Bachelor,6.53,0,5,2530.0,1,A,Platinum,52116
Female,Urban,High School,9.27,1,2,4551.0,1,B,Silver,35172
Male,Urban,High School,,1,7,5690.0,More than 1,A,Silver,66828
Female,Urban,Bachelor,2.51,0,5,3997.0,More than 1,A,Platinum,257640
Female,Urban,Bachelor,11.41,0,3,3821.0,1,A,Gold,35592
Male,Urban,Bachelor,,1,3,5719.0,More than 1,A,Platinum,333576
Female,Urban,High School,0.6,1,6,17289.0,More than 1,,Platinum,438900
Male,Urban,Bachelor,9.98,1,7,3813.0,1,A,Silver,50064
Female,Urban,High School,5.46,1,7,5574.0,More than 1,B,Platinum,64884
Female,Urban,Bachelor,4.81,1,4,3937.0,More than 1,A,Platinum,87180
Female,Urban,High School,6.28,1,3,5571.0,1,C,Platinum,57132
Female,Urban,High School,5.69,0,7,5732.0,More than 1,A,Silver,503316
Female,Urban,High School,43.13,1,7,0.0,More than 1,A,Platinum,28716
Male,Urban,High School,41.75,1,7,4211.0,More than 1,B,Gold,63372
Male,Urban,Bachelor,8.62,1,7,3817.0,More than 1,A,Platinum,102408
Male,Rural,High School,96.99,1,0,2580.0,More than 1,C,Platinum,178020
Female,Rural,Bachelor,24.31,1,1,0.0,1,C,Gold,30180
Male,Rural,Others,63.85,1,0,0.0,1,A,Gold,35220
Male,,Bachelor,5.3,1,4,0.0,1,C,Gold,33996
Male,Rural,Others,33.65,0,7,0.0,More than 1,B,Silver,38148
Male,Urban,High School,6.86,1,2,6319.0,More than 1,A,Platinum,67356
Female,Urban,Bachelor,6.8,1,5,5132.0,More than 1,A,Platinum,60288
Male,Rural,Bachelor,3.46,0,6,3133.0,1,B,Silver,37164
Male,Urban,Bachelor,25.66,1,7,4947.0,More than 1,B,Platinum,97620
Male,Urban,High School,9.92,0,4,11115.0,More than 1,A,Gold,69072
Male,Urban,High School,8.85,0,6,,More than 1,A,Platinum,73548
Female,Rural,High School,9.23,1,0,3285.0,1,A,Platinum,34416
Male,Urban,Bachelor,,1,8,8072.0,More than 1,,Gold,55824
Female,Rural,High School,5.1,1,7,0.0,More than 1,B,Platinum,72072
Male,Urban,Bachelor,5.04,1,4,,1,A,Gold,34740
Male,Urban,High School,8.39,0,8,8158.0,More than 1,A,Gold,206124
Male,Urban,Bachelor,7.62,1,3,2325.0,More than 1,A,Platinum,71832
Female,Urban,Bachelor,2.89,1,1,4844.0,1,A,Platinum,102288
Female,,Bachelor,40.54,0,6,5725.0,1,A,Gold,44172
Male,Urban,High School,6.61,1,8,7690.0,More than 1,A,Platinum,304908
Male,Rural,Others,94.14,1,6,0.0,More than 1,B,Platinum,59952
Male,Urban,High School,8.12,0,7,0.0,More than 1,A,Platinum,181596
Male,Rural,Bachelor,9.68,1,4,0.0,More than 1,C,Silver,67176
Male,Rural,Bachelor,,0,7,3288.0,1,B,Silver,35640
Male,Urban,High School,3.72,0,0,6071.0,More than 1,A,Gold,66576
Female,Urban,High School,5.68,0,8,0.0,More than 1,A,Gold,91368
Male,Rural,High School,7.46,0,2,2191.0,1,B,Silver,36696
Female,Urban,High School,,0,1,3841.0,1,A,Platinum,49920
Female,Urban,Bachelor,3.62,1,5,,1,A,Gold,65916
Male,Urban,High School,3.98,1,1,,1,C,Platinum,63324
Female,Urban,High School,2.88,1,8,8656.0,More than 1,A,Platinum,113028
Female,Urban,Bachelor,,0,8,2409.0,More than 1,B,Platinum,520332
Male,Rural,High School,6.0,1,6,0.0,1,C,Platinum,33636
Male,Rural,High School,,1,5,,More than 1,C,Platinum,105828
Male,Urban,Bachelor,5.66,1,6,3754.0,1,A,Platinum,31788
Male,Urban,High School,6.43,0,5,5139.0,1,C,Silver,35676
Male,Urban,Bachelor,6.64,0,3,6535.0,More than 1,A,Platinum,92880
Male,Urban,Others,3.2,0,2,0.0,More than 1,C,Gold,60984
Male,Rural,Bachelor,8.51,1,4,0.0,1,A,Silver,34440
Male,Urban,High School,3.6,1,2,4118.0,More than 1,A,Platinum,58056
Female,Urban,High School,5.25,1,2,3947.0,More than 1,B,Platinum,60372
Male,Rural,Bachelor,6.76,1,5,0.0,1,A,Silver,58752
Male,Rural,High School,7.09,1,1,0.0,1,,Platinum,33252
Male,Rural,Bachelor,49.83,1,4,2376.0,1,,Gold,39780
Male,Urban,High School,4.95,1,6,7294.0,1,A,Gold,46596
Female,Urban,High School,9.64,0,6,0.0,More than 1,A,Platinum,138012
Male,Rural,High School,17.52,0,5,3613.0,More than 1,A,Gold,257856
Male,Urban,High School,9.68,1,0,,1,A,Platinum,37308
Female,Urban,Bachelor,3.1,1,2,6927.0,More than 1,A,Platinum,68124
Female,Urban,Bachelor,5.23,0,7,3729.0,More than 1,A,Gold,222276
Male,Urban,High School,6.02,0,5,5746.0,More than 1,A,Gold,124908
Female,Urban,High School,5.35,1,8,0.0,More than 1,A,Silver,332796
Male,Rural,Bachelor,75.03,1,5,6340.0,1,A,Gold,31764
Female,Urban,High School,,1,7,10203.0,More than 1,B,Gold,69516
Male,Urban,Bachelor,5.27,1,6,4108.0,More than 1,A,Platinum,407772
Male,Urban,High School,3.65,0,4,3733.0,More than 1,A,Platinum,57756
Male,Urban,High School,9.31,1,7,4708.0,More than 1,,Gold,65688
Male,Rural,High School,7.08,0,4,0.0,More than 1,B,Gold,48552
Male,Urban,High School,8.37,0,3,9182.0,More than 1,,Silver,199860
Male,Urban,High School,5.76,0,2,4430.0,1,A,Platinum,34812
Male,Urban,Bachelor,8.18,1,0,,More than 1,A,Gold,67764
Male,Rural,Bachelor,5.29,1,7,2635.0,More than 1,A,Platinum,90084
Female,Rural,High School,9.39,1,2,0.0,1,A,Platinum,35472
Female,Rural,High School,41.95,1,5,,More than 1,A,Gold,34464
Male,Urban,Bachelor,5.59,1,6,3248.0,More than 1,A,Platinum,398628
Male,,Bachelor,9.46,1,4,5411.0,More than 1,A,Platinum,64332
Male,Urban,Bachelor,8.51,1,4,3392.0,More than 1,B,Silver,62220
Female,Urban,High School,9.88,0,7,5855.0,More than 1,C,Gold,106080
Male,Urban,Bachelor,7.88,1,6,3880.0,1,A,Platinum,60312
Male,Urban,High School,7.9,0,4,10726.0,More than 1,A,Gold,104304
Male,,High School,,0,6,4610.0,More than 1,A,Platinum,85632
Male,Urban,Bachelor,9.7,0,1,12060.0,1,A,Silver,44196
Male,Rural,High School,7.1,1,7,4062.0,1,B,Silver,51276
Female,Urban,High School,6.68,0,6,5534.0,More than 1,A,Gold,262476
Male,Urban,High School,,0,2,11283.0,More than 1,A,Platinum,106944
Female,Rural,Bachelor,5.55,1,5,0.0,More than 1,A,Platinum,103044
Male,Urban,Others,2.01,1,7,4137.0,More than 1,A,Gold,160884
Male,Urban,High School,6.3,1,5,0.0,More than 1,A,Platinum,236280
Female,Rural,High School,9.5,0,5,6869.0,More than 1,A,Platinum,60528
Male,Rural,High School,6.39,0,7,0.0,1,A,Silver,52176
Male,Urban,High School,3.9,1,7,2968.0,More than 1,C,Silver,71796
Male,Rural,High School,48.88,1,4,3394.0,1,,Gold,35016
Female,Urban,High School,4.28,1,5,5206.0,More than 1,A,Silver,67488
Female,Urban,Bachelor,47.05,0,5,3821.0,1,B,Platinum,32808
Male,Urban,High School,4.81,1,5,3213.0,More than 1,C,Silver,54972
Male,Urban,Bachelor,,0,6,4061.0,More than 1,A,Platinum,107880
Male,Urban,High School,9.65,1,2,3545.0,More than 1,A,Platinum,98484
Male,Urban,High School,,1,1,3565.0,More than 1,B,Gold,68808
Female,Urban,Bachelor,5.02,1,5,4171.0,More than 1,A,Platinum,59628
Male,Rural,Bachelor,8.36,1,6,3425.0,1,B,Platinum,53844
Female,Urban,High School,3.62,1,5,5912.0,1,A,Platinum,32628
Male,Urban,Others,3.35,1,6,4489.0,More than 1,B,Silver,95364
Male,Urban,High School,3.38,0,7,4086.0,1,B,Gold,35556
Male,Urban,Bachelor,,1,6,3127.0,More than 1,B,Silver,263712
Female,Urban,Bachelor,43.05,0,4,6874.0,More than 1,A,Silver,203952
Male,Rural,Bachelor,9.91,1,7,,1,A,Platinum,69036
Male,Urban,Bachelor,5.9,0,4,3252.0,More than 1,B,Silver,66912
Female,Rural,Bachelor,6.7,1,8,0.0,1,B,Gold,58716
Male,Urban,High School,78.37,0,4,7010.0,More than 1,A,Platinum,66972
Male,Urban,High School,2.16,1,7,5434.0,1,A,Platinum,60504
Female,Urban,Bachelor,66.15,1,0,5689.0,1,A,Silver,34428
Male,Urban,Bachelor,5.73,0,4,5474.0,More than 1,A,Platinum,90456
Female,Urban,Bachelor,6.1,0,8,2960.0,More than 1,A,Gold,57072
Male,Urban,Bachelor,1.06,1,6,4823.0,More than 1,A,Platinum,65196
Female,Urban,High School,1.17,1,7,5759.0,More than 1,B,Platinum,197988
Male,Urban,Bachelor,6.82,0,0,0.0,More than 1,B,Platinum,42456
Female,Rural,Bachelor,7.11,0,2,5884.0,More than 1,A,Silver,73668
Female,Urban,High School,6.84,1,5,5258.0,More than 1,A,Gold,426288
Female,Urban,High School,7.44,1,7,6351.0,1,A,Gold,33888
Male,,High School,8.87,0,5,4248.0,1,A,Gold,34128
Female,Urban,High School,68.69,1,2,4673.0,More than 1,A,Platinum,98856
Female,Urban,High School,5.46,1,3,,More than 1,A,Platinum,93420
Female,Rural,High School,2.03,1,7,0.0,1,B,Platinum,45036
Male,Urban,High School,9.69,1,1,6310.0,1,A,Platinum,47112
Male,Urban,High School,8.44,0,7,5817.0,More than 1,A,Gold,63204
Female,Urban,High School,3.86,1,4,3252.0,More than 1,B,Silver,109512
Female,Urban,High School,3.06,0,6,3432.0,More than 1,A,Silver,193500
Female,Urban,Bachelor,9.09,1,7,6796.0,1,,Platinum,96756
Male,Urban,High School,7.74,0,3,,More than 1,A,Platinum,113388
Female,Urban,Bachelor,,1,0,,More than 1,C,Gold,67764
Female,Urban,High School,3.39,0,2,8258.0,More than 1,A,Platinum,74508
Female,Rural,Others,,1,7,0.0,1,A,Gold,30000
Female,Urban,Bachelor,2.54,0,5,5735.0,More than 1,B,Gold,65748
Male,Urban,High School,47.9,1,5,4281.0,More than 1,A,Gold,69744
Female,Urban,Others,9.67,1,1,5522.0,1,A,Silver,43488
Male,Urban,Others,60.03,1,8,7280.0,1,B,Silver,32892
Male,Urban,High School,2.06,0,7,13980.0,More than 1,A,Platinum,513804
Male,Urban,High School,86.3,0,4,6434.0,1,A,Silver,49632
Male,Urban,High School,9.53,0,2,12829.0,More than 1,A,Gold,108780
Female,Urban,Bachelor,7.59,1,3,6125.0,More than 1,A,Silver,67116
Male,Urban,Bachelor,3.94,1,5,9868.0,More than 1,A,Platinum,94740
Female,Urban,Bachelor,72.83,0,2,5438.0,More than 1,A,Platinum,75372
Female,,Bachelor,6.7,1,0,3328.0,1,A,Platinum,50376
Male,Urban,Bachelor,8.59,0,7,3395.0,More than 1,,Gold,56124
Male,Rural,Bachelor,9.32,0,8,3306.0,More than 1,B,Platinum,150588
Male,Rural,Bachelor,5.74,1,4,5450.0,1,B,Gold,31032
Male,Urban,Bachelor,3.06,0,7,5258.0,More than 1,B,Gold,107544
Male,Rural,Bachelor,8.86,1,6,2338.0,1,A,Platinum,62832
Female,Rural,High School,9.87,1,5,0.0,More than 1,A,Gold,63324
Male,Rural,Bachelor,8.88,1,6,6112.0,1,,Gold,56772
Male,Urban,Bachelor,8.79,0,2,4013.0,More than 1,A,Platinum,315984
Male,Urban,Bachelor,9.41,1,2,4000.0,More than 1,A,Silver,279024
Male,Rural,Bachelor,7.61,1,6,2049.0,More than 1,A,Platinum,85428
Male,Rural,High School,73.15,1,4,0.0,More than 1,B,Gold,47220
Male,Urban,High School,3.25,0,0,6770.0,More than 1,A,Gold,176316
Male,Urban,High School,8.38,1,5,6935.0,More than 1,B,Platinum,102372
Male,Rural,High School,6.44,0,6,0.0,1,A,Platinum,36372
Male,Urban,Others,50.3,1,7,5261.0,1,A,Gold,36264
Male,Rural,High School,3.93,0,5,4332.0,1,A,Platinum,64248
Female,Urban,High School,7.73,0,0,5266.0,More than 1,A,Gold,245088
Female,Urban,High School,7.96,0,2,3911.0,More than 1,A,Platinum,83232
Female,Urban,Bachelor,6.84,1,3,5888.0,1,A,Platinum,95412
Female,Rural,Bachelor,65.9,1,8,0.0,More than 1,B,Silver,105180
Male,Rural,Bachelor,5.36,1,8,0.0,1,,Platinum,30228
Female,Urban,Bachelor,2.16,0,6,7315.0,More than 1,A,Gold,165636
Female,Urban,Bachelor,97.82,1,6,3893.0,1,A,Gold,30852
Male,Urban,High School,6.87,1,6,5736.0,1,A,Gold,32844
Male,Urban,Bachelor,2.0,1,1,6467.0,More than 1,A,Platinum,61152
Female,Urban,Bachelor,98.02,0,2,13907.0,More than 1,A,Gold,101148
Female,Urban,Bachelor,3.34,1,1,0.0,More than 1,C,Platinum,61296
Male,Urban,High School,6.21,1,6,5670.0,1,A,Silver,37128
Male,Urban,High School,72.15,0,4,25863.0,1,A,Platinum,30384
Male,Urban,High School,2.35,1,2,6629.0,More than 1,A,Gold,58500
Male,Urban,Bachelor,,1,7,2020.0,1,B,Silver,35592
Female,Urban,Bachelor,4.68,0,3,,More than 1,C,Silver,69984
Male,Urban,High School,4.25,1,5,8034.0,More than 1,B,Platinum,70764
Male,Urban,High School,9.73,1,7,4032.0,1,A,Silver,36048
Male,Rural,High School,7.91,1,7,0.0,More than 1,B,Platinum,66732
Female,Rural,Bachelor,7.13,0,2,6231.0,More than 1,B,Platinum,107448
Male,Urban,High School,9.13,0,4,3434.0,More than 1,A,Silver,68640
Female,Urban,Bachelor,4.59,0,3,6798.0,1,,Silver,69924
Female,,High School,3.17,0,6,7456.0,More than 1,A,Silver,72996
Male,Urban,Bachelor,7.0,1,6,3628.0,1,A,Silver,34668
Female,Urban,Bachelor,2.03,1,2,,More than 1,A,Platinum,58080
Male,Urban,Bachelor,,0,7,4142.0,1,A,Platinum,38592
Female,Rural,Bachelor,4.54,1,7,6567.0,More than 1,A,Gold,67704
Female,Urban,High School,3.73,0,7,7947.0,More than 1,A,Platinum,110328
Female,Urban,High School,2.47,1,1,5787.0,More than 1,A,Platinum,168876
Female,Urban,Others,8.38,1,2,2316.0,1,A,Gold,33840
Male,Rural,High School,9.78,0,7,2491.0,More than 1,A,Platinum,75612
Male,Urban,Bachelor,,1,8,6357.0,1,A,Platinum,30600
Female,Urban,Bachelor,7.37,1,6,3701.0,More than 1,A,Platinum,191640
Female,Urban,High School,,0,7,7744.0,More than 1,A,Silver,66120
Male,Urban,Bachelor,6.28,1,4,4134.0,1,A,Platinum,63960
Male,Urban,High School,13.65,0,2,0.0,1,C,Platinum,187656
Female,Urban,High School,7.19,0,6,0.0,More than 1,B,Silver,87708
Female,Rural,Bachelor,6.01,0,6,0.0,More than 1,B,Platinum,339132
Male,Urban,Bachelor,7.55,1,2,6243.0,More than 1,A,Platinum,327996
Male,Urban,High School,1.44,1,3,6358.0,1,A,Silver,47064
Male,Urban,Bachelor,9.1,1,4,5211.0,1,A,Platinum,47172
Male,Urban,High School,7.76,1,8,3895.0,More than 1,A,Gold,98364
Male,Rural,Others,9.29,1,4,0.0,More than 1,A,Silver,40680
Male,Urban,High School,2.19,1,1,6376.0,1,C,Platinum,30192
Male,Urban,Bachelor,8.94,0,3,3698.0,More than 1,C,Silver,104808
Female,Rural,High School,5.74,1,6,0.0,More than 1,A,Platinum,64044
Female,Urban,High School,3.24,1,6,5426.0,1,C,Silver,31140
Male,Urban,High School,9.05,1,5,3357.0,1,A,Platinum,96228
Female,Urban,Bachelor,8.28,0,2,2510.0,More than 1,A,Platinum,95268
Male,Urban,High School,6.13,0,8,0.0,1,C,Gold,64980
Female,Urban,Bachelor,2.22,1,6,4839.0,More than 1,A,Platinum,95904
Female,Rural,High School,29.33,0,6,8812.0,More than 1,A,Platinum,67920
Male,Urban,High School,6.55,0,6,4419.0,More than 1,A,Platinum,393696
Female,Rural,High School,7.75,0,2,0.0,1,A,Platinum,36756
Female,Rural,Bachelor,75.0,0,3,0.0,1,,Silver,31920
Female,Urban,Bachelor,5.26,1,6,2987.0,More than 1,A,Platinum,103728
Male,Rural,Bachelor,70.04,1,5,0.0,1,B,Silver,39096
Female,Urban,Bachelor,4.89,1,4,2035.0,More than 1,C,Gold,106056
Male,Urban,Bachelor,5.17,1,4,4135.0,1,A,Silver,52128
Female,Urban,Bachelor,8.92,1,5,2039.0,More than 1,B,Platinum,170568
Male,Urban,High School,94.42,1,3,3847.0,1,A,Platinum,58860
Male,Urban,High School,,0,8,,More than 1,A,Platinum,350928
Female,Urban,High School,9.46,1,4,0.0,1,A,Silver,33204
Female,Urban,High School,3.84,0,6,6387.0,More than 1,B,Platinum,60060
Female,Rural,Bachelor,9.13,1,4,2105.0,More than 1,A,Platinum,108372
Female,Urban,High School,8.58,0,4,4791.0,More than 1,A,Platinum,57888
Female,Rural,Bachelor,5.92,0,1,3492.0,More than 1,C,Gold,38436
Female,Urban,High School,9.03,1,0,4474.0,More than 1,,Platinum,67440
Female,Rural,High School,67.76,1,4,5057.0,1,A,Platinum,38892
Male,Urban,Bachelor,2.01,1,5,3935.0,1,A,Platinum,60252
Female,Rural,High School,8.54,1,4,0.0,1,,Platinum,36024
Male,Urban,High School,9.59,1,4,0.0,1,,Platinum,33900
Female,Urban,High School,,1,1,0.0,1,A,Gold,56364
Male,Urban,High School,9.11,0,7,8437.0,More than 1,A,Silver,128400
Female,Rural,Bachelor,6.82,1,5,2685.0,1,A,Platinum,73932
Male,Urban,High School,2.78,0,6,0.0,1,A,Silver,30324
Female,Urban,Bachelor,8.78,0,0,5319.0,More than 1,B,Gold,94752
Female,Urban,Bachelor,5.55,0,1,6002.0,1,A,Platinum,64740
Male,Rural,High School,9.9,0,1,2553.0,More than 1,B,Platinum,62940
Male,,High School,,1,4,0.0,More than 1,C,Silver,69720
Male,Rural,Others,85.26,1,5,3966.0,1,A,Gold,31788
Male,Urban,High School,5.04,1,2,4823.0,More than 1,C,Gold,103392
Male,Rural,High School,61.89,1,7,0.0,More than 1,B,Platinum,101796
Female,Urban,High School,8.14,1,6,3557.0,More than 1,A,Silver,114408
Female,Rural,High School,7.68,1,6,3177.0,More than 1,B,Silver,69036
Male,Urban,Bachelor,5.48,1,7,0.0,More than 1,A,Silver,64380
Female,Urban,High School,3.93,1,3,3769.0,More than 1,A,Platinum,64548
Male,Urban,High School,6.81,1,5,3670.0,More than 1,A,Platinum,63660
Female,Urban,High School,7.12,1,2,3763.0,More than 1,A,Silver,103740
Female,Rural,Bachelor,7.27,1,6,5073.0,1,B,Silver,39768
Male,Urban,High School,8.42,1,4,4043.0,More than 1,A,Silver,106488
Female,Rural,Bachelor,18.11,1,2,,More than 1,A,Silver,64176
Male,Urban,High School,3.56,1,7,5911.0,More than 1,A,Gold,71196
Female,Rural,Others,8.05,0,6,0.0,1,B,Silver,35568
Female,Urban,High School,2.05,1,4,6520.0,1,C,Silver,37680
Male,Urban,Bachelor,2.31,0,6,5467.0,More than 1,A,Platinum,165396
Male,Urban,High School,7.04,0,6,6584.0,1,B,Platinum,51576
Male,Rural,Bachelor,,1,1,0.0,1,A,Platinum,37236
Male,Urban,Bachelor,5.52,1,1,5969.0,More than 1,A,Gold,40344
Male,,Bachelor,6.08,0,7,12450.0,More than 1,A,Silver,89148
Male,Urban,High School,91.81,1,7,3419.0,More than 1,C,Platinum,125676
Female,Urban,High School,47.58,1,2,4806.0,1,A,Gold,48456
Male,Rural,Bachelor,9.38,1,6,2605.0,1,A,Gold,59844
Female,Urban,High School,6.76,0,2,6443.0,More than 1,A,Platinum,64152
Male,Urban,High School,76.84,1,3,4481.0,1,A,Gold,28944
Male,Urban,High School,6.25,0,6,3963.0,More than 1,,Platinum,62436
Male,Urban,High School,9.94,1,5,5869.0,More than 1,C,Platinum,176808
Female,Rural,High School,69.69,1,2,0.0,More than 1,B,Gold,67692
Male,Urban,High School,2.24,1,5,8226.0,More than 1,A,Platinum,285468
Male,,High School,2.81,1,7,4250.0,More than 1,A,Platinum,244176
Female,Urban,High School,6.36,1,6,6483.0,More than 1,A,Platinum,29916
Male,Urban,High School,7.16,1,5,8380.0,More than 1,A,Platinum,106704
Female,Urban,Bachelor,,1,5,5579.0,1,A,Platinum,54780
Female,,High School,,1,6,0.0,1,A,Gold,50904
Male,Urban,High School,3.35,1,4,7633.0,More than 1,B,Silver,607452
Male,Urban,High School,6.43,1,6,5476.0,More than 1,A,Gold,94080
Female,Urban,High School,8.22,1,3,7618.0,More than 1,A,Gold,411516
Male,Urban,High School,74.16,1,2,3666.0,1,A,Gold,65484
Male,Urban,Bachelor,9.44,1,4,2201.0,More than 1,A,Platinum,63144
Female,Urban,High School,6.3,0,8,4936.0,More than 1,A,Platinum,208740
Male,Urban,Bachelor,78.31,1,6,6180.0,1,A,Gold,32952
Male,Urban,High School,5.58,1,8,4060.0,More than 1,B,Platinum,67236
Female,Urban,High School,,1,3,,1,B,Silver,32796
Female,Urban,High School,2.12,0,5,7714.0,More than 1,A,Gold,97932
Female,Urban,Bachelor,7.07,0,2,6197.0,More than 1,A,Platinum,68940
Male,Rural,High School,9.73,1,3,0.0,1,B,Platinum,35856
Male,Urban,High School,4.69,0,7,,More than 1,B,Gold,173472
Male,Urban,Bachelor,9.42,1,3,11191.0,More than 1,A,Platinum,60540
Male,Rural,Bachelor,62.32,1,6,0.0,More than 1,A,Platinum,66744
Female,Urban,High School,4.5,1,6,,More than 1,C,Silver,94200
Male,Urban,Others,,1,2,0.0,More than 1,A,Platinum,61500
Male,Rural,High School,7.94,1,3,0.0,1,C,Gold,30684
Female,Urban,High School,5.86,1,7,4271.0,More than 1,A,Platinum,70260
Female,Urban,High School,9.33,1,2,2078.0,1,B,Gold,61716
Female,Rural,Bachelor,7.46,1,7,2299.0,1,A,Silver,34008
Male,Urban,Bachelor,4.2,0,6,5047.0,More than 1,,Platinum,173004
Female,Rural,Bachelor,19.8,0,7,5032.0,More than 1,B,Gold,68208
